Type,Code,Name,cli_indicator,mtl_indicator,ltl_indicator,sb_indicator,all.bio_Indicator,System,Subsystem,Habitat,Units,Source,ESRReportCard,ESR,Notes,DataAcquirer,Contact_data_usage,
BIO,FOCI.ICH.GADMAC,Larval Gadus macrocephalus,0,0,0,0,0,GOA,WGOA,Pelagic,mean abundance (no per 10m2),ECOFOCI,N,Y,Not normalized. ESR timeseries (different from previous paper approach which used Kristin's time-series,Lauren,Y (Lauren Rogers),
BIO,FOCI.ICH.HIPELA,Larval Hippoglossoides elassodon,0,0,1,0,1,GOA,WGOA,Pelagic,mean abundance (no per 10m2),ECOFOCI,N,Y,Not normalized. ESR timeseries (different from previous paper approach which used Kristin's time-series,Lauren,Y (Lauren Rogers),
BIO,FOCI.ICH.HIPSTE,Larval Hippoglossus stenolepis,0,0,0,0,0,GOA,WGOA,Pelagic,mean abundance (no per 10m2),ECOFOCI,N,Y,Not normalized. ESR timeseries (different from previous paper approach which used Kristin's time-series,Lauren,Y (Lauren Rogers),
BIO,FOCI.ICH.LEPBIL,Larval Lepidopsetta bilineata,0,0,0,0,0,GOA,WGOA,Pelagic,mean abundance (no per 10m2),ECOFOCI,N,Y,Not normalized. ESR timeseries (different from previous paper approach which used Kristin's time-series,Lauren,Y (Lauren Rogers),
BIO,FOCI.ICH.LEPPOL,Larval Lepidopsetta polyxystra,0,0,1,0,1,GOA,WGOA,Pelagic,mean abundance (no per 10m2),ECOFOCI,N,Y,Not normalized. ESR timeseries (different from previous paper approach which used Kristin's time-series,Lauren,Y (Lauren Rogers),
BIO,FOCI.ICH.PLASTE,Larval Platichthys stellatus,0,0,0,0,0,GOA,WGOA,Pelagic,mean abundance (no per 10m2),ECOFOCI,N,Y,Not normalized. ESR timeseries (different from previous paper approach which used Kristin's time-series,Lauren,Y (Lauren Rogers),
BIO,FOCI.ICH.SEBSPP,Larval Sebastes spp.,0,0,1,0,1,GOA,WGOA,Pelagic,mean abundance (no per 10m2),ECOFOCI,N,Y,Not normalized. ESR timeseries (different from previous paper approach which used Kristin's time-series,Lauren,Y (Lauren Rogers),
BIO,FOCI.ICH.STELEU,Larval Stenobrachius leucopsarus,0,0,0,0,0,GOA,WGOA,Pelagic,mean abundance (no per 10m2),ECOFOCI,N,Y,Not normalized. ESR timeseries (different from previous paper approach which used Kristin's time-series,Lauren,Y (Lauren Rogers),
BIO,CHLA.BIOM,Chl-a concentration,0,0,1,0,1,GOA,WGOA,Pelagic,ug/L (ave Apr-Jun),,N,Y,satellite-derived (MODIS) 8 day composite average chl-a concentration average from april-June to capture spring bloom period (magnitude) across shelf (10m-200m) of WGOA and starting 3miles offshore,Bridget,"Jeanette Gann, Jens Nielson, Matt Callahan",
BIO,CHLA.PEAK,Chl-a timing of peak bloom,0,0,1,0,1,GOA,WGOA,Pelagic,day # within year (Jan 1=Day1),,N,Y,satellite-derived (MODIS) 8 day composite average chl-a concentration average from april-June to capture spring bloom period (magnitude) across shelf (10m-200m) of WGOA and starting 3miles offshore,Bridget,"Jeanette Gann, Jens Nielson, Matt Callahan",
BIO,MID.IL.CAPELIN,Proportion of capelin in rhinoceros auklet chick diets on Middleton Island (summer months),0,1,0,0,1,GOA,WGOA,Pelagic,diet analysis of seabird colonies in summer on Middleton Island,Institute for Seabird Research and Conservation,Y,Y,,Bridget,Scott Hatch/Shannon Whelan,
BIO,SWDLN.SM.CAL.COP.SPR,Zooplankton biomass-small calenoid copepod; May; Seward Line,0,0,1,0,1,GOA,WGOA,Pelagic,g/m3 wet weight,Seward Line,N,Y,Transects south of Seward during the first 10 days of May and during mid-September; Data are averaged over the top 100 m of the water column to estimate wet-weight biomass of calanoid copepods and euphausiids; 0.5 mm mesh net,Bridget Ferriss,Russ Hopcroft,
BIO,SWDLN.SM.CAL.COP.FLL,Zooplankton biomass-small calenoid copepod; Sept; Seward Line,0,0,0,0,0,GOA,WGOA,Pelagic,g/m3 wet weight,Seward Line,N,Y,Transects south of Seward during the first 10 days of May and during mid-September; Data are averaged over the top 100 m of the water column to estimate wet-weight biomass of calanoid copepods and euphausiids; 0.5 mm mesh net,Bridget Ferriss,Russ Hopcroft,
BIO,SWDLN.LG.CAL.COP.SPR,Zooplankton biomass-large calenoid copepod; May; Seward Line,0,0,1,0,1,GOA,WGOA,Pelagic,g/m3 wet weight,Seward Line,N,Y,Transects south of Seward during the first 10 days of May and during mid-September; Data are averaged over the top 100 m of the water column to estimate wet-weight biomass of calanoid copepods and euphausiids; 0.5 mm mesh net,Bridget Ferriss,Russ Hopcroft,
BIO,SWDLN.LG.CAL.COP.FLL,Zooplankton biomass-large calenoid copepod; Sept; Seward Line,0,0,0,0,0,GOA,WGOA,Pelagic,g/m3 wet weight,Seward Line,N,Y,Transects south of Seward during the first 10 days of May and during mid-September; Data are averaged over the top 100 m of the water column to estimate wet-weight biomass of calanoid copepods and euphausiids; 0.5 mm mesh net,Bridget Ferriss,Russ Hopcroft,
BIO,SWDLN.COP.CMMTY.SZ.SPR,Zooplankton copepod community size; May; Seward Line,0,0,0,0,0,GOA,WGOA,Pelagic,g/m3 wet weight,Seward Line,Y,Y,Transects south of Seward during the first 10 days of May and during mid-September; Data are averaged over the top 100 m of the water column to estimate wet-weight biomass of calanoid copepods and euphausiids; 0.5 mm mesh net,Bridget Ferriss,Russ Hopcroft,
BIO,SB.MEANHATCH.COMU.CHOW,Common murre mean hatch date at Chowiet Island,0,0,0,1,0,GOA,WGOA,Pelagic,day number within year (Jan1 = Day1),USFWS,N,Y,,Bridget,Y (Brie Drummond),
BIO,SB.MEANHATCH.TBMU.CHOW,Thick-billed murre mean hatch date at Chowiet Island,0,0,0,1,0,GOA,WGOA,Pelagic,day number within year (Jan1 = Day1),USFWS,N,Y,,Bridget,Y (Brie Drummond),
BIO,SB.MEANHATCH.PAAU.CHOW,Parakeet aucklets mean hatch date at Chowiet Island,0,0,0,1,1,GOA,WGOA,Pelagic,day number within year (Jan1 = Day1),USFWS,N,Y,,Bridget,Y (Brie Drummond),
BIO,SB.MEANHATCH.HOPU.CHOW,Horned puffin mean hatch date at Chowiet Island,0,0,0,1,0,GOA,WGOA,Pelagic,day number within year (Jan1 = Day1),USFWS,N,Y,,Bridget,Y (Brie Drummond),
BIO,SB.MEANHATCH.TUPU.CHOW,Tufted puffin mean hatch date at Chowiet Island,0,0,0,1,1,GOA,WGOA,Pelagic,day number within year (Jan1 = Day1),USFWS,N,Y,,Bridget,Y (Brie Drummond),
BIO,SB.MEANHATCH.GWGU.CHOW,Glaucous-winged gull mean hatch timing at Chowiet Island,0,0,0,1,0,GOA,WGOA,Pelagic,day number within year (Jan1 = Day1),USFWS,N,Y,,Bridget,Y (Brie Drummond),
BIO,SB.MEANHATCH.COMU.EAMT,Common murre mean hatch date at E. Amatuli Island,0,0,0,0,0,GOA,WGOA,Pelagic,day number within year (Jan1 = Day1),USFWS,N,Y,,Bridget,Y (Brie Drummond),
BIO,SB.MEANHATCH.BLKW.EAMT,Black-legged kittiwake mean hatch date at E. Amatuli Island,0,0,0,1,1,GOA,WGOA,Pelagic,day number within year (Jan1 = Day1),USFWS,N,Y,,Bridget,Y (Brie Drummond),
BIO,PAV.SHRIMP.CPUE,Pavlof Bay pink shrimp cpue,0,1,0,0,1,GOA,WGOA,,abundance,ADF&G small mesh trawl,N,N,log (x+0.01) transformed,Mike,,
BIO,PAV.CAPELIN.CPUE,Pavlof Bay capelin cpue,0,1,0,0,1,GOA,WGOA,,abundance,ADF&G small mesh trawl,N,N,log (x+0.01) transformed,Mike,,
BIO,PAV.EULACHON.CPUE,Pavlof Bay eulachon cpue,0,1,0,0,0,GOA,WGOA,,abundance,ADF&G small mesh trawl,N,N,log (x+0.01) transformed,Mike,,
BIO,PAV.P.COD.CPUE,Pavlof Bay Pacific cod cpue,0,0,0,0,0,GOA,WGOA,,abundance,ADF&G small mesh trawl,N,N,log (x+0.01) transformed,Mike,,
BIO,PAV.POLLOCK.CPUE,Pavlof Bay walleye pollock cpue,0,0,0,0,0,GOA,WGOA,,abundance,ADF&G small mesh trawl,N,N,log (x+0.01) transformed,Mike,,
BIO,PAV.JELLY.CPUE,Pavlof Bay jellyfish cpue,0,1,0,0,0,GOA,WGOA,,abundance,ADF&G small mesh trawl,N,N,log (x+0.01) transformed,Mike,,
BIO,CHI.SHRIMP.CPUE,Chiniak Bay pink shrimp cpue,0,1,0,0,1,GOA,WGOA,,abundance,ADF&G small mesh trawl,N,N,log (x+0.01) transformed,Mike,,
BIO,CHI.DOGFISH.CPUE,Chiniak Bay spiny dogfish cpue,0,0,0,0,0,GOA,WGOA,,abundance,ADF&G small mesh trawl,N,N,log (x+0.01) transformed,Mike,,
BIO,CHI.EULACHON.CPUE,Chiniak Bay eulachon cpue,0,1,0,0,1,GOA,WGOA,,abundance,ADF&G small mesh trawl,N,N,log (x+0.01) transformed,Mike,,
BIO,CHI.P.COD.CPUE,Chiniak Bay Pacific cod cpue,0,0,0,0,0,GOA,WGOA,,abundance,ADF&G small mesh trawl,N,N,log (x+0.01) transformed,Mike,,
BIO,CHI.POLLOCK.CPUE,Chiniak Bay walleye pollock cpue,0,0,0,0,0,GOA,WGOA,,abundance,ADF&G small mesh trawl,N,N,log (x+0.01) transformed,Mike,,
BIO,CHI.JELLY.CPUE,Chiniak Bay jellyfish cpue,0,1,0,0,1,GOA,WGOA,,abundance,ADF&G small mesh trawl,N,N,log (x+0.01) transformed,Mike,,
BIO,PWS.CO,Prince William Sound coho catch,0,0,0,0,0,GOA,WGOA,,production,ADF&G,N,N,log-transformed and lagged 1 yr to ocean entry,Mike,,
BIO,PWS.PI,Prince William Sound pink catch,0,0,0,0,0,GOA,WGOA,,production,ADF&G,N,N,log-transformed and lagged 1 yr to ocean entry,Mike,,
BIO,KOD.CO,Kodiak coho catch,0,0,0,0,0,GOA,WGOA,,production,ADF&G,N,N,log-transformed and lagged 1 yr to ocean entry,Mike,,
BIO,KOD.PI,Kodiak pink catch,0,0,0,0,0,GOA,WGOA,,production,ADF&G,N,N,log-transformed and lagged 1 yr to ocean entry,Mike,,
BIO,CI.CO,Cook Inlet coho catch,0,0,0,0,0,GOA,WGOA,,production,ADF&G,N,N,log-transformed and lagged 1 yr to ocean entry,Mike,,
BIO,CI.PI,Cook Inlet pink catch,0,0,0,0,0,GOA,WGOA,,production,ADF&G,N,N,log-transformed and lagged 1 yr to ocean entry,Mike,,
BIO,CH.CO,Chignik coho catch,0,0,0,0,0,GOA,WGOA,,production,ADF&G,N,N,log-transformed and lagged 1 yr to ocean entry,Mike,,
BIO,CH.PI,Chignik pink catch,0,0,0,0,0,GOA,WGOA,,production,ADF&G,N,N,log-transformed and lagged 1 yr to ocean entry,Mike,,
BIO,SP.CO,South Peninsula coho catch,0,0,0,0,0,GOA,WGOA,,production,ADF&G,N,N,log-transformed and lagged 1 yr to ocean entry,Mike,,
BIO,BTS.PCOD,Total biomass Pacific cod caught in bottom trawl survey in WGOA (summer),0,0,0,0,0,GOA,WGOA,,mt,AFSC Bottom Trawl Survey,N,N,total biomass corrected by CPUE,Bridget,,
BIO,BTS.WPOL,Total biomass walleye pollock caught in bottom trawl survey in WGOA (summer),0,0,0,0,0,GOA,WGOA,,mt,AFSC Bottom Trawl Survey,N,N,total biomass corrected by CPUE,Bridget,,
BIO,BTS.ATF,Total biomass arrowtooth flounder caught in bottom trawl survey in WGOA (summer),0,0,0,0,0,GOA,WGOA,,mt,AFSC Bottom Trawl Survey,N,N,total biomass corrected by CPUE,Bridget,,
BIO,BTS.RXSOL,Total biomass rex sole caught in bottom trawl survey in WGOA (summer),0,0,0,0,0,GOA,WGOA,,mt,AFSC Bottom Trawl Survey,N,N,total biomass corrected by CPUE,Bridget,,
BIO,BTS.FSOL,Total biomass flathead sole caught in bottom trawl survey in WGOA (summer),0,0,0,0,0,GOA,WGOA,,mt,AFSC Bottom Trawl Survey,N,N,total biomass corrected by CPUE,Bridget,,
BIO,BTS.HAL,Total biomass Pacific halibut caught in bottom trawl survey in WGOA (summer),0,0,0,0,0,GOA,WGOA,,mt,AFSC Bottom Trawl Survey,N,N,total biomass corrected by CPUE,Bridget,,
BIO,BTS.SBLF,Total biomass sablefish caught in bottom trawl survey in WGOA (summer),0,0,0,0,0,GOA,WGOA,,mt,AFSC Bottom Trawl Survey,N,N,total biomass corrected by CPUE,Bridget,,
BIO,BTS.STHRNY,Total biomass shortspined thornyhead caught in bottom trawl survey in WGOA (summer),0,0,0,0,0,GOA,WGOA,,mt,AFSC Bottom Trawl Survey,N,N,total biomass corrected by CPUE,Bridget,,
BIO,BTS.POP,Total biomass Pacific Ocean perch caught in bottom trawl survey in WGOA (summer),0,0,0,0,0,GOA,WGOA,,mt,AFSC Bottom Trawl Survey,N,N,total biomass corrected by CPUE,Bridget,,
BIO,BTS.ROCKSOL,Total biomass rocksole caught in bottom trawl survey in WGOA (summer),0,0,0,0,0,GOA,WGOA,,mt,AFSC Bottom Trawl Survey,N,N,total biomass corrected by CPUE,Bridget,,
BIO,BTS.NRCKSOL,Total biomass northern rock sole caught in bottom trawl survey in WGOA (summer),0,0,0,0,0,GOA,WGOA,,mt,AFSC Bottom Trawl Survey,N,N,total biomass corrected by CPUE,Bridget,,
BIO,BTS.DSOL,Total biomass dusky sole caught in bottom trawl survey in WGOA (summer),0,0,0,0,0,GOA,WGOA,,mt,AFSC Bottom Trawl Survey,N,N,total biomass corrected by CPUE,Bridget,,
BIO,BTS.ESOL,Total biomass English sole caught in bottom trawl survey in WGOA (summer),0,0,0,0,0,GOA,WGOA,,mt,AFSC Bottom Trawl Survey,N,N,total biomass corrected by CPUE,Bridget,,
BIO,BTS.BTRSOL,Total biomass butter sole caught in bottom trawl survey in WGOA (summer),0,0,0,0,0,GOA,WGOA,,mt,AFSC Bottom Trawl Survey,N,N,total biomass corrected by CPUE,Bridget,,
BIO,BTS.AKPL,Total biomass Alaska plaice caught in bottom trawl survey in WGOA (summer),0,0,0,0,0,GOA,WGOA,,mt,AFSC Bottom Trawl Survey,N,N,total biomass corrected by CPUE,Bridget,,
BIO,BTS.STFLND,Total biomass starry flounder caught in bottom trawl survey in WGOA (summer),0,0,0,0,0,GOA,WGOA,,mt,AFSC Bottom Trawl Survey,N,N,total biomass corrected by CPUE,Bridget,,
BIO,BTS.DPSSOL,Total biomass deep sea sole caught in bottom trawl survey in WGOA (summer),0,0,0,0,0,GOA,WGOA,,mt,AFSC Bottom Trawl Survey,N,N,total biomass corrected by CPUE,Bridget,,
BIO,BTS.SNDSOL,Total biomass sand solecaught in bottom trawl survey in WGOA (summer),0,0,0,0,0,GOA,WGOA,,mt,AFSC Bottom Trawl Survey,N,N,total biomass corrected by CPUE,Bridget,,
BIO,BTS.REROCK,Total biomass rougheye rockfish caught in bottom trawl survey in WGOA (summer),0,0,0,0,0,GOA,WGOA,,mt,AFSC Bottom Trawl Survey,N,N,total biomass corrected by CPUE,Bridget,,
BIO,BTS.NROCK,Total biomass northern rockfish caught in bottom trawl survey in WGOA (summer),0,0,0,0,0,GOA,WGOA,,mt,AFSC Bottom Trawl Survey,N,N,total biomass corrected by CPUE,Bridget,,
BIO,BTS.DUSKY,Total biomass dusky rockfish caught in bottom trawl survey in WGOA (summer),0,0,0,0,0,GOA,WGOA,,mt,AFSC Bottom Trawl Survey,N,N,total biomass corrected by CPUE,Bridget,,
BIO,BTS.SHRPCHROCK,Total biomass sharpchin rockfish caught in bottom trawl survey in WGOA (summer),0,0,0,0,0,GOA,WGOA,,mt,AFSC Bottom Trawl Survey,N,N,total biomass corrected by CPUE,Bridget,,
BIO,BTS.SHRTRKRROCK,Total biomass shortraker rockfish caught in bottom trawl survey in WGOA (summer),0,0,0,0,0,GOA,WGOA,,mt,AFSC Bottom Trawl Survey,N,N,total biomass corrected by CPUE,Bridget,,
BIO,BTS.SGROCK,Total biomass silvergray rockfish caught in bottom trawl survey in WGOA (summer),0,0,0,0,0,GOA,WGOA,,mt,AFSC Bottom Trawl Survey,N,N,total biomass corrected by CPUE,Bridget,,
BIO,BTS.RBNDROCK,Total biomass redbanded rockfish caught in bottom trawl survey in WGOA (summer),0,0,0,0,0,GOA,WGOA,,mt,AFSC Bottom Trawl Survey,N,N,total biomass corrected by CPUE,Bridget,,
BIO,BTS.HLQNROCK,Total biomass harlequin rockfish caught in bottom trawl survey in WGOA (summer),0,0,0,0,0,GOA,WGOA,,mt,AFSC Bottom Trawl Survey,N,N,total biomass corrected by CPUE,Bridget,,
BIO,BTS.YEROCK,Total biomass yelloweye rockfish caught in bottom trawl survey in WGOA (summer),0,0,0,0,0,GOA,WGOA,,mt,AFSC Bottom Trawl Survey,N,N,total biomass corrected by CPUE,Bridget,,
BIO,BTS.ATKA,Total biomass atka mackerel caught in bottom trawl survey in WGOA (summer),0,0,0,0,0,GOA,WGOA,,mt,AFSC Bottom Trawl Survey,N,N,total biomass corrected by CPUE,Bridget,,
BIO,BTS.BGSKAT,Total biomass big skate caught in bottom trawl survey in WGOA (summer),0,0,0,0,0,GOA,WGOA,,mt,AFSC Bottom Trawl Survey,N,N,total biomass corrected by CPUE,Bridget,,